country code,postal code,state,statecode,latitude,longitude,Country
US,36202,Alabama,AL,33.7622,-85.8378,United States
US,36203,Alabama,AL,33.5815,-85.8328,United States
US,36204,Alabama,AL,33.7622,-85.8378,United States
US,36205,Alabama,AL,33.7358,-85.7933,United States
US,36206,Alabama,AL,33.7191,-85.8389,United States
US,36207,Alabama,AL,33.6803,-85.7137,United States
US,36250,Alabama,AL,33.7808,-85.8924,United States
US,36253,Alabama,AL,33.7622,-85.8378,United States
US,36254,Alabama,AL,33.6573,-85.6991,United States
US,36257,Alabama,AL,33.7622,-85.8378,United States
US,36260,Alabama,AL,33.6031,-85.9608,United States
US,36265,Alabama,AL,33.831,-85.7752,United States
US,36271,Alabama,AL,33.7788,-86.0254,United States
US,36272,Alabama,AL,33.8389,-85.646,United States
US,36277,Alabama,AL,33.7563,-85.8107,United States
US,36279,Alabama,AL,33.8226,-85.8927,United States
US,36852,Alabama,AL,32.7831,-85.2756,United States
US,36854,Alabama,AL,32.8113,-85.1749,United States
US,36855,Alabama,AL,33.0424,-85.3243,United States
US,36862,Alabama,AL,32.9252,-85.4426,United States
US,36863,Alabama,AL,32.8616,-85.2161,United States
US,35959,Alabama,AL,34.2417,-85.6026,United States
US,35960,Alabama,AL,34.1116,-85.6092,United States
US,35973,Alabama,AL,34.3573,-85.5589,United States
US,35983,Alabama,AL,34.1911,-85.7705,United States
US,36275,Alabama,AL,33.9778,-85.5521,United States
US,35045,Alabama,AL,32.8355,-86.6425,United States
US,35046,Alabama,AL,32.9229,-86.545,United States
US,35085,Alabama,AL,32.9805,-86.7181,United States
US,35171,Alabama,AL,32.9157,-86.7158,United States
US,36091,Alabama,AL,32.7499,-86.5114,United States
US,36750,Alabama,AL,32.8045,-86.8717,United States
US,36790,Alabama,AL,32.7332,-86.8963,United States
US,36904,Alabama,AL,32.0829,-88.2064,United States
US,36908,Alabama,AL,31.8666,-88.3265,United States
US,36910,Alabama,AL,32.2299,-88.1684,United States
US,36912,Alabama,AL,32.2177,-88.3234,United States
US,36913,Alabama,AL,31.9304,-88.4589,United States
US,36915,Alabama,AL,31.9879,-88.3367,United States
US,36916,Alabama,AL,32.2094,-88.049,United States
US,36919,Alabama,AL,31.7668,-88.3091,United States
US,36921,Alabama,AL,31.9155,-88.151,United States
US,36922,Alabama,AL,32.3038,-88.1476,United States
US,36436,Alabama,AL,31.7635,-87.7106,United States
US,36446,Alabama,AL,31.7925,-87.72,United States
US,36451,Alabama,AL,31.7088,-87.7772,United States
US,36482,Alabama,AL,31.6395,-87.6565,United States
US,36524,Alabama,AL,31.7843,-88.0715,United States
US,36540,Alabama,AL,31.4258,-87.6822,United States
US,36545,Alabama,AL,31.5131,-87.8672,United States
US,36727,Alabama,AL,31.9213,-88.008,United States
US,36784,Alabama,AL,31.9067,-87.7598,United States
US,35082,Alabama,AL,33.1162,-86.1386,United States
US,36251,Alabama,AL,33.2474,-85.829,United States
US,36255,Alabama,AL,33.2171,-85.7108,United States
US,36258,Alabama,AL,33.4573,-85.6793,United States
US,36266,Alabama,AL,33.3286,-85.7346,United States
US,36267,Alabama,AL,33.1915,-85.9258,United States
US,36261,Alabama,AL,33.7066,-85.5099,United States
US,36262,Alabama,AL,33.7717,-85.4381,United States
US,36264,Alabama,AL,33.6115,-85.5885,United States
US,36269,Alabama,AL,33.7529,-85.3789,United States
US,36273,Alabama,AL,33.5616,-85.3786,United States
US,36323,Alabama,AL,31.4137,-86.0777,United States
US,36330,Alabama,AL,31.3408,-85.8421,United States
US,36331,Alabama,AL,31.2978,-85.9036,United States
US,36346,Alabama,AL,31.5652,-85.971,United States
US,36351,Alabama,AL,31.369,-85.9404,United States
US,36453,Alabama,AL,31.1926,-86.1514,United States
US,35616,Alabama,AL,34.7442,-87.9724,United States
US,35646,Alabama,AL,34.711,-87.5221,United States
US,35660,Alabama,AL,34.7578,-87.6971,United States
US,35661,Alabama,AL,34.7561,-87.6304,United States
US,35662,Alabama,AL,34.7448,-87.6675,United States
US,35674,Alabama,AL,34.6874,-87.6833,United States
US,36401,Alabama,AL,31.458,-86.9258,United States
US,36429,Alabama,AL,31.2627,-86.7711,United States
US,36432,Alabama,AL,31.2991,-87.0225,United States
US,36454,Alabama,AL,31.3366,-87.1855,United States
US,36473,Alabama,AL,31.3058,-87.2137,United States
US,36475,Alabama,AL,31.4256,-87.172,United States
US,35072,Alabama,AL,33.0746,-86.0781,United States
US,35089,Alabama,AL,32.9791,-86.0484,United States
US,35136,Alabama,AL,32.878,-86.24,United States
US,35183,Alabama,AL,33.0238,-86.3042,United States
US,36026,Alabama,AL,32.8139,-86.1051,United States
US,36038,Alabama,AL,31.4068,-86.4841,United States
US,36420,Alabama,AL,31.2971,-86.4905,United States
US,36442,Alabama,AL,31.0172,-86.3385,United States
US,36455,Alabama,AL,31.0105,-86.3497,United States
US,36467,Alabama,AL,31.2799,-86.2571,United States
US,36474,Alabama,AL,31.4399,-86.6121,United States
US,36476,Alabama,AL,31.3533,-86.541,United States
US,36483,Alabama,AL,31.0223,-86.6293,United States
US,36009,Alabama,AL,31.571,-86.2743,United States
US,36028,Alabama,AL,31.5066,-86.3663,United States
US,36034,Alabama,AL,31.6641,-86.171,United States
US,36041,Alabama,AL,31.9283,-86.2971,United States
US,36042,Alabama,AL,31.8784,-86.3981,United States
US,36049,Alabama,AL,31.7074,-86.2566,United States
US,36062,Alabama,AL,31.8488,-86.2077,United States
US,36071,Alabama,AL,31.7062,-86.3715,United States
US,35019,Alabama,AL,34.2683,-86.6213,United States
US,35033,Alabama,AL,33.9737,-87.0043,United States
US,35053,Alabama,AL,34.0821,-87.0484,United States
US,35055,Alabama,AL,34.1761,-86.8298,United States
US,35056,Alabama,AL,34.1748,-86.8436,United States
US,35057,Alabama,AL,34.0878,-86.9447,United States
US,35058,Alabama,AL,34.2098,-86.752,United States
US,35070,Alabama,AL,34.0058,-86.7499,United States
US,35077,Alabama,AL,34.0516,-86.7848,United States
US,35083,Alabama,AL,34.1901,-86.6174,United States
US,35087,Alabama,AL,34.2837,-86.5519,United States
US,35098,Alabama,AL,34.1377,-87.0266,United States
US,35179,Alabama,AL,34.2621,-86.9125,United States
US,36311,Alabama,AL,31.583,-85.7077,United States
US,36317,Alabama,AL,31.6446,-85.3911,United States
US,36322,Alabama,AL,31.2811,-85.7305,United States
US,36350,Alabama,AL,31.3191,-85.4938,United States
US,36352,Alabama,AL,31.3311,-85.5992,United States
US,36360,Alabama,AL,31.4391,-85.6436,United States
US,36361,Alabama,AL,31.4591,-85.6405,United States
US,36362,Alabama,AL,31.348,-85.7214,United States
US,36371,Alabama,AL,31.3074,-85.5263,United States
US,36374,Alabama,AL,31.5748,-85.537,United States
US,36701,Alabama,AL,32.4197,-87.0245,United States
US,36702,Alabama,AL,32.4074,-87.0211,United States
US,36703,Alabama,AL,32.4156,-87.0135,United States
US,36758,Alabama,AL,32.6176,-86.9475,United States
US,36759,Alabama,AL,32.4266,-87.2702,United States
US,36761,Alabama,AL,32.1899,-87.0633,United States
US,36767,Alabama,AL,32.2949,-87.2214,United States
US,36773,Alabama,AL,32.3002,-87.3693,United States
US,36775,Alabama,AL,32.2844,-86.992,United States
US,36785,Alabama,AL,32.3239,-86.8646,United States
US,35961,Alabama,AL,34.268,-85.862,United States
US,35962,Alabama,AL,34.2588,-86.0306,United States
US,35963,Alabama,AL,34.3568,-85.9292,United States
US,35967,Alabama,AL,34.4368,-85.7124,United States
US,35968,Alabama,AL,34.4898,-85.7657,United States
US,35971,Alabama,AL,34.4373,-85.9288,United States
US,35974,Alabama,AL,34.3592,-86.024,United States
US,35975,Alabama,AL,34.4359,-86.04,United States
US,35978,Alabama,AL,34.6186,-85.7274,United States
US,35981,Alabama,AL,34.7351,-85.6416,United States
US,35984,Alabama,AL,34.5872,-85.5777,United States
US,35986,Alabama,AL,34.4989,-85.8446,United States
US,35988,Alabama,AL,34.559,-85.7921,United States
US,35989,Alabama,AL,34.5697,-85.6272,United States
US,36020,Alabama,AL,32.5056,-86.3322,United States
US,36022,Alabama,AL,32.6082,-86.3958,United States
US,36024,Alabama,AL,32.6542,-86.0316,United States
US,36025,Alabama,AL,32.5454,-86.3161,United States
US,36045,Alabama,AL,32.619,-85.9486,United States
US,36054,Alabama,AL,32.4995,-86.3641,United States
US,36078,Alabama,AL,32.551,-85.8978,United States
US,36080,Alabama,AL,32.69,-86.2393,United States
US,36092,Alabama,AL,32.5927,-86.2153,United States
US,36093,Alabama,AL,32.5622,-86.0994,United States
US,36426,Alabama,AL,31.1294,-87.0961,United States
US,36427,Alabama,AL,31.1052,-87.0722,United States
US,36441,Alabama,AL,31.0402,-87.2664,United States
US,36502,Alabama,AL,31.0572,-87.4873,United States
US,36503,Alabama,AL,31.0238,-87.4939,United States
US,36504,Alabama,AL,31.0158,-87.4972,United States
US,36543,Alabama,AL,31.2202,-87.4619,United States
US,35901,Alabama,AL,34.048,-85.9246,United States
US,35902,Alabama,AL,34.0143,-86.0066,United States
US,35903,Alabama,AL,33.9845,-85.9077,United States
US,35904,Alabama,AL,34.0217,-86.0495,United States
US,35905,Alabama,AL,33.9352,-85.9576,United States
US,35906,Alabama,AL,33.9318,-86.0898,United States
US,35907,Alabama,AL,33.8979,-86.0245,United States
US,35952,Alabama,AL,34.071,-86.2096,United States
US,35954,Alabama,AL,34.0296,-86.0967,United States
US,35972,Alabama,AL,33.9976,-86.2346,United States
US,35990,Alabama,AL,34.0657,-86.3064,United States
US,35542,Alabama,AL,33.7008,-87.6897,United States
US,35545,Alabama,AL,33.6476,-87.9314,United States
US,35546,Alabama,AL,33.6945,-87.6226,United States
US,35555,Alabama,AL,33.6974,-87.8346,United States
